,Title,Studios,Genres,Rank,Completed_count,Year,Anime_id
3950,Anitore! XX: Hitotsu Yane no Shita de,Rising Force,Comedy|Sports,6776,7445,2016,33746
3951,Hakata Tonkotsu Ramens,Satelight,Action|Mystery,1384,66653,2018,35889
3952,The SoulTaker: Tamashii-gari,Tatsunoko Production,Horror|Supernatural|Demons,5347,8875,2001,1048
3953,Aishiteruze Baby★★,TMS Entertainment,Comedy|Drama|Romance|Shoujo,1505,63739,2004,102
3954,Cutie Honey Universe,Production Reed,Action|Comedy|Romance|Sci-Fi|Shounen,7875,4070,2018,36976
3955,Miss Monochrome The Animation,SANZIGEN|LIDENFILMS,Comedy|Slice of Life|Music,3831,27357,2013,20033
3956,Flip Flappers,Studio 3Hz,Adventure|Comedy|Sci-Fi,1209,74783,2016,32979
3957,Rinshi!! Ekoda-chan,Kinema Citrus|Ascension|Creators in Pack|Zero-G,Comedy|Slice of Life|Seinen,7931,3262,2019,38162
3958,Haibane Renmei,Radix,Drama|Fantasy|Mystery|Slice of Life|Psychological,924,104354,2002,387
3959,86,A-1 Pictures,Action|Drama|Sci-Fi|Mecha|Military,330,252174,2021,41457
3960,Bungou Stray Dogs,Bones,Action|Comedy|Mystery|Supernatural|Super Power|Seinen,91,697562,2016,31478
3961,Rewrite,8bit,Action|Comedy|Romance|Supernatural|School,2319,103824,2016,31716
3962,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",Project No.9,Comedy|Romance|Supernatural|Ecchi|Shounen,2933,91995,2014,17777
3963,Souryo to Majiwaru Shikiyoku no Yoru ni...,Seven,Drama|Romance|Erotica,7059,18546,2017,34823
3964,One Room,Typhoon Graphics,Slice of Life,4471,51493,2017,34392
3965,Rosario to Vampire,Gonzo,Comedy|Fantasy|Romance|Ecchi|Harem|School|Vampire|Shounen,929,476855,2008,2993
3966,Boku no Hero Academia 2nd Season,Bones,Action|Comedy|School|Super Power|Shounen,6,1898098,2017,33486
3967,Isekai wa Smartphone to Tomo ni.,Production Reed,Adventure|Comedy|Fantasy|Romance|Harem,1879,340698,2017,35203
3968,Eromanga-sensei,A-1 Pictures,Comedy|Drama|Romance|Ecchi,1386,443826,2017,32901
3969,Fairy Gone 2nd Season,P.A. Works,Action|Fantasy|Supernatural|Demons,4314,18989,2019,39811
3970,Gun-dou Musashi,ACC Production,Adventure|Fantasy|Samurai,8719,924,2006,1200
3971,Nodame Cantabile,J.C.Staff,Comedy|Drama|Romance|Slice of Life|Music|Josei,426,147297,2007,1698
3972,Medaka Box Abnormal,Gainax|Asahi Production,Action|Comedy|Ecchi|Martial Arts|School|Super Power|Shounen,1203,92243,2012,14527
3973,Kobayashi-san Chi no Maid Dragon,Kyoto Animation,Comedy|Fantasy|Slice of Life,57,777828,2017,33206
3974,Hundred,Production IMS,Action|Romance|Sci-Fi|Ecchi|Harem|Mecha|School,1961,227299,2016,31338
3975,Assassins Pride,EMT Squared,Fantasy,2798,166321,2019,38572
3976,Himouto! Umaru-chan,Doga Kobo,Comedy|Slice of Life|School|Seinen,726,415127,2015,28825
3977,Naruto,Studio Pierrot,Action|Adventure|Comedy|Martial Arts|Super Power|Shounen,26,1945303,2002,20
3978,Tales of Zestiria the Cross 2nd Season,ufotable,Action|Adventure|Fantasy,1267,93080,2017,34086
3979,Sekai Seifuku: Bouryaku no Zvezda,A-1 Pictures,Action|Comedy|Fantasy,1828,65475,2014,20973
3980,Natsume Yuujinchou Roku,Shuka,Drama|Slice of Life|Supernatural|Demons|Shoujo,543,76412,2017,34591
3981,Nourin,SILVER LINK.,Comedy|Romance|Ecchi|Parody|School,1974,91047,2014,18095
3982,Higurashi no Naku Koro ni Gou,Passione,Horror|Mystery|Supernatural|Suspense|Psychological,1825,65115,2020,41006
3983,Kurokami The Animation,Sunrise,Action|Martial Arts|Super Power|Seinen,2121,49920,2009,5079
3984,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,EMT Squared,Comedy|Slice of Life|School|Josei,3947,19105,2020,38302
3985,Nurarihyon no Mago,Studio Deen,Action|Supernatural|Demons|Shounen,669,142184,2010,7592
3986,Sola,Nomad,Drama|Romance|Slice of Life|Supernatural,1907,54944,2007,1965
3987,Ao no Kanata no Four Rhythm,Gonzo,Drama|Sci-Fi|Sports|School,2444,74966,2016,28391
3988,Medaka Box,Gainax|Asahi Production,Action|Comedy|Ecchi|Martial Arts|School|Super Power|Shounen,1396,131141,2012,11761
3989,The Reflection,Studio Deen,Action|Super Power,8068,5619,2017,34449
3990,Shadowverse ,Zexcs,Fantasy|Game,7893,1863,2020,40506
3991,Mobile Suit Gundam Wing,Sunrise,Action|Drama|Sci-Fi|Mecha|Military|Space,1032,103133,1995,90
3992,Ai Tenchi Muyou!,AIC PLUS+,Comedy|Sci-Fi|Shounen,5338,12142,2014,24699
3993,KimiKiss Pure Rouge,J.C.Staff,Drama|Romance|School,1826,47973,2007,2927
3994,Dansai Bunri no Crime Edge,Studio Gokumi,Action|Fantasy|Romance|Seinen,2791,55236,2013,16355
3995,Ouran Koukou Host Club,Bones,Comedy|Romance|Harem|School|Shoujo,115,753988,2006,853
3996,Valkyrie Drive: Mermaid,Arms,Action|Fantasy|Girls Love|Ecchi,3764,59222,2015,30385
3997,Granbelm,Nexus,Fantasy|Mecha,3942,17235,2019,39417
3998,Girly Air Force,Satelight,Action|Sci-Fi,4134,31565,2019,37998
3999,Ashita no Joe 2,Tokyo Movie Shinsha,Action|Drama|Slice of Life|Sports|Shounen,2732,18635,1980,2921
4000,Azur Lane,Bibury Animation Studios,Action|Sci-Fi|Military,3421,50054,2019,38328
4001,Nanatsu no Taizai: Seisen no Shirushi,A-1 Pictures,Action|Adventure|Fantasy|Supernatural|Shounen,583,539684,2016,31722
4002,Seto no Hanayome,Gonzo|AIC,Comedy|Romance|Parody|School|Shounen,865,160694,2007,2104
4003,Schwarzesmarken,ixtl|LIDENFILMS,Action|Drama|Sci-Fi|Historical|Mecha|Military,2862,48979,2016,30806
4004,Gleipnir,Pine Jam,Action|Mystery|Supernatural|Ecchi|Seinen,1122,208360,2020,39463
4005,Planetes,Sunrise,Drama|Romance|Sci-Fi|Space|Seinen,967,77458,2003,329
4006,Id:Invaded,NAZ,Mystery|Sci-Fi|Police|Psychological,593,145513,2020,40046
4007,Hacka Doll The Animation,Creators in Pack,Comedy|Sci-Fi,4175,20318,2015,30721
4008,Cestvs: The Roman Fighter,Bandai Namco Pictures,Action|Drama|Historical|Seinen,6594,6390,2021,43763
4009,Yami Shibai 3,ILCA,Avant Garde|Horror|Supernatural,4088,24357,2016,31994
4010,Battle Girl High School,SILVER LINK.,Action|Sci-Fi|School,7151,5673,2017,33184
4011,Mars Red,Signal.MD,Action|Supernatural|Historical|Military|Vampire,3127,28998,2021,41265
4012,Princess Tutu,Hal Film Maker,Comedy|Drama|Fantasy|Mystery|Romance,1304,70678,2002,721
4013,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Revoroot,Comedy|Fantasy|Slice of Life,1185,136693,2021,40586
4014,Mnemosyne: Mnemosyne no Musume-tachi,Xebec,Action|Girls Love|Horror|Sci-Fi|Supernatural,1636,81928,2008,3342
4015,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",A-1 Pictures,Action|Adventure|Fantasy|Military,303,513626,2015,28907
4016,The God of High School,MAPPA,Action|Fantasy|Sci-Fi|Supernatural|Martial Arts,704,471745,2020,41353
4017,Mobile Suit Gundam 00,Sunrise,Action|Drama|Sci-Fi|Mecha|Military|Space,590,139687,2007,2581
4018,Meikyuu Black Company,SILVER LINK.,Comedy|Fantasy,1310,73672,2021,42340
4019,Youkai Watch,OLM,Comedy|Supernatural|Demons|Kids,4301,7355,2014,19157
4020,Kaze ga Tsuyoku Fuiteiru,Production I.G,Drama|Sports,369,134143,2018,37965
4021,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,EMT Squared,Comedy|Fantasy,3314,38621,2021,40960
4022,Kono Subarashii Sekai ni Shukufuku wo!,Studio Deen,Adventure|Comedy|Fantasy|Supernatural|Parody,40,1337181,2016,30831
4023,One Room Third Season,Zero-G,Slice of Life,4413,13243,2020,41364
4024,AKB0048,Satelight,Sci-Fi|Music,2549,33833,2012,12149
4025,Cop Craft,Millepensee,Action|Fantasy|Sci-Fi|Police,2415,50618,2019,38940
4026,Kino no Tabi: The Beautiful World - The Animated Series,Lerche,Action|Adventure|Slice of Life,1042,82030,2017,35079
4027,Dagashi Kashi 2,Tezuka Productions,Comedy|Gourmet|Slice of Life|Shounen,1782,78681,2018,36049
4028,Junjou Romantica 3,Studio Deen,Boys Love|Comedy|Drama|Romance,1512,84283,2015,25649
4029,Fight Ippatsu! Juuden-chan!!,Studio Hibari,Comedy|Sci-Fi|Ecchi|Shounen,4128,17347,2009,5973
4030,Samurai Deeper Kyou,Studio Deen,Adventure|Comedy|Supernatural|Historical|Samurai|Shounen,2999,30543,2002,419
4031,Yuru Yuri♪♪,Doga Kobo,Comedy|Girls Love|Slice of Life|School,610,121466,2012,12403
4032,Occultic;Nine,A-1 Pictures,Mystery|Sci-Fi,2299,74103,2016,32962
4033,Fate/kaleid liner Prisma☆Illya,SILVER LINK.,Action|Comedy|Fantasy,1333,139013,2013,14829
4034,Imouto sae Ireba Ii.,SILVER LINK.,Comedy|Romance,1019,160919,2017,35413
4035,Queen's Blade: Rurou no Senshi,Arms,Action|Adventure|Fantasy|Ecchi,4012,40089,2009,4719
4036,Hagure Yuusha no Aesthetica,Arms,Action|Fantasy|Ecchi|Super Power,1337,268295,2012,13161
4037,Seitokai Yakuindomo*,GoHands,Comedy|Slice of Life|School|Shounen,606,150937,2014,20847
4038,Kemeko Deluxe!,Hal Film Maker,Action|Comedy|Romance|Sci-Fi|Ecchi|School|Shounen,3967,20739,2008,3464
4039,Saishuu Heiki Kanojo,Gonzo,Drama|Romance|Sci-Fi|Military|School,2696,42957,2002,529
4040,Samurai Flamenco,Manglobe,Action|Comedy|Parody|Super Power,2613,47740,2013,19365
4041,Shichisei no Subaru,Lerche,Action|Fantasy|Sci-Fi|Game,3629,55905,2018,36316
4042,Sasaki to Miyano,Studio Deen,Boys Love|Romance|Slice of Life|School,2235,0,2022,44055
4043,Kemono Jihen,Ajia-Do,Action|Mystery|Supernatural|Demons|Shounen,565,146151,2021,40908
4044,Kyou kara Maou!,Studio Deen,Adventure|Comedy|Fantasy|Demons|Shoujo,1823,41003,2004,251
4045,Kono Minikuku mo Utsukushii Sekai,Gainax|Shaft,Comedy|Drama|Romance|Sci-Fi|Ecchi,3097,35201,2004,146
4046,Sakigake!! Cromartie Koukou,Production I.G,Comedy|School|Shounen,1446,53727,2003,114
4047,Just Because!,Pine Jam,Drama|Romance|Slice of Life|School,1073,128506,2017,35639
4048,Ao Oni The Animation,Studio Deen,Comedy|Horror,7233,11361,2016,33814
4049,Enen no Shouboutai,David Production,Action|Supernatural|Shounen,179,628372,2019,38671
4050,Gintama.,Bandai Namco Pictures,Action|Comedy|Sci-Fi|Historical|Parody|Samurai|Shounen,627,149375,2017,34096
4051,Black Clover,Studio Pierrot,Action|Comedy|Fantasy|Shounen,325,361813,2017,34572
4052,Negima!?,Shaft|GANSIS,Adventure|Comedy|Fantasy|Romance|Supernatural|Ecchi|Harem|School,2551,44912,2006,1546
4053,Gunslinger Girl: Il Teatrino,Artland,Action|Drama|Sci-Fi|Military,2668,32559,2008,3231
4054,Code:Realize - Sousei no Himegimi,M.S.C,Fantasy|Romance|Historical|Josei,3447,27939,2017,31456
4055,ef: A Tale of Melodies.,Shaft,Drama|Mystery|Romance|Supernatural,1184,79017,2008,4789
4056,Amaenaide yo!! Katsu!!,Studio Deen,Comedy|Romance|Supernatural|Ecchi|Harem,3094,36087,2006,886
4057,GJ-bu,Doga Kobo,Comedy|Slice of Life|School,1200,92098,2013,14811
4058,Ichigo 100%,Madhouse,Comedy|Romance|Ecchi|Harem|Shounen,2541,67701,2005,248
4059,Pingu in the City,DandeLion Animation Studio,Comedy|Slice of Life|Kids,2956,15734,2017,36259
4060,Ojisan to Marshmallow,Creators in Pack,Comedy|Romance|Slice of Life,2807,41734,2016,31848
4061,Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...,Magic Bus,Romance|Erotica,5435,11557,2020,41332
4062,Togainu no Chi,A-1 Pictures,Action|Boys Love|Sci-Fi,3774,43434,2010,8449
4063,Kill la Kill,Trigger,Action|Comedy|Ecchi|School|Super Power,122,982455,2013,18679
4064,Fushigi Yuugi,Studio Pierrot,Adventure|Comedy|Drama|Fantasy|Romance|Historical|Martial Arts|Shoujo,1647,58399,1995,123
4065,Hitorijime My Hero,Encourage Films,Boys Love|Drama|Romance|Slice of Life|School,1527,91376,2017,33654
4066,3D Kanojo: Real Girl,Hoods Entertainment,Romance|School|Shoujo,1568,169341,2018,36793
4067,Mayoiga,Diomedéa,Comedy|Drama|Horror|Mystery|Psychological,3676,118163,2016,32438
4068,Piano no Mori ,Gaina,Adventure|Comedy|Drama|Music|School|Seinen,1721,55910,2018,36652
4069,Moetan,Actas,Comedy|Ecchi|School,5041,10468,2007,2367
4070,Durarara!!x2 Ten,Shuka,Action|Mystery|Supernatural,248,247441,2015,27831
4071,Doraemon (1979),Shin-Ei Animation,Adventure|Comedy|Fantasy|Sci-Fi|Kids|Shounen,1542,29084,1979,2471
4072,Daitoshokan no Hitsujikai,Hoods Entertainment|Felix Film,Romance|Harem|School,2004,67478,2014,17827
4073,Yagate Kimi ni Naru,TROYCA,Drama|Girls Love|Romance|School,695,130231,2018,37786
4074,Katanagatari,White Fox,Action|Adventure|Romance|Historical|Martial Arts,415,226332,2010,6594
4075,Sekaiichi Hatsukoi,Studio Deen,Boys Love|Comedy|Drama|Romance,1087,155354,2011,9926
4076,Ikkitousen,J.C.Staff,Ecchi|Martial Arts|School|Super Power,2808,83566,2003,257
4077,Jinsei,feel.,Comedy|Slice of Life|School,3690,27743,2014,23121
4078,Mai-HiME,Sunrise,Action|Comedy|Drama|Fantasy|Girls Love|Romance|Mecha|School,1551,62797,2004,98
4079,12-sai.: Chicchana Mune no Tokimeki,OLM,Romance|School|Shoujo,4146,18374,2016,32601
4080,Bokura no,Gonzo,Drama|Sci-Fi|Mecha|Psychological|Seinen,1649,54786,2007,1690
4081,Ookami to Koushinryou II,Brain's Base|Marvy Jack,Adventure|Fantasy|Romance|Historical,154,315779,2009,5341
4082,Tensei shitara Slime Datta Ken 2nd Season Part 2,8bit,Action|Adventure|Comedy|Fantasy|Demons,175,322302,2021,41487
4083,Saiki Kusuo no Ψ-nan,J.C.Staff|Egg Firm,Comedy|Slice of Life|Supernatural|School|Shounen,94,555643,2016,33255
4084,Noragami,Bones,Action|Adventure|Comedy|Supernatural|Shounen,14,1441201,2014,20507
4085,Ninja Collection,ILCA|DRAWIZ|Toho Interactive Animation,Horror|Supernatural,9564,3580,2020,42260
4086,Kuuchuu Buranko,Toei Animation,Comedy|Drama|Psychological|Seinen,2218,25344,2009,6774
4087,Baraou no Souretsu,J.C.Staff,Action|Drama|Supernatural|Historical|Shoujo,7235,0,2022,42892
4088,Kurogane no Linebarrels,Gonzo,Action|Sci-Fi|Mecha,3516,21578,2008,3653
4089,Garo: Honoo no Kokuin,MAPPA,Action|Fantasy|Supernatural|Demons,1614,58768,2014,23311
4090,Egao no Daika,Tatsunoko Production,Drama|Fantasy|Slice of Life|Mecha|Military,5420,13080,2019,38544
4091,Binbougami ga!,Sunrise,Comedy|Supernatural|Parody|Shounen,697,129345,2012,13535
4092,Kino no Tabi: The Beautiful World,A.C.G.T.,Action|Adventure|Slice of Life|Psychological,756,98584,2003,486
4093,Rail Romanesque,Saetta,Slice of Life,7442,9069,2020,40958
4094,Higurashi no Naku Koro ni Kai,Studio Deen,Mystery|Supernatural|Suspense|Psychological,450,286802,2007,1889
4095,Endride,Brain's Base|Lapin Track,Adventure|Fantasy,5752,19981,2016,32608
4096,Koi to Uso,LIDENFILMS,Drama|Romance|School,1750,203304,2017,34934
4097,Kuroshitsuji II,A-1 Pictures,Action|Comedy|Supernatural|Demons|Historical|Shounen,920,394481,2010,6707
4098,IS: Infinite Stratos,8bit,Action|Comedy|Sci-Fi|Ecchi|Harem|Mecha,1079,443996,2011,9041
4099,Ookami-san wa Taberaretai,Peak Hunt,Romance|Erotica,6066,9329,2020,42517
4100,SKET Dance,Tatsunoko Production,Comedy|School|Shounen,888,78843,2011,9863
4101,Kingdom 3rd Season,Pierrot Plus|Studio Signpost,Action|Historical|Military|Seinen,1966,15701,2020,40682
4102,Back Arrow,Studio VOLN,Action|Fantasy|Mecha,5310,9033,2021,40964
4103,Aiura,LIDENFILMS,Comedy|Slice of Life|School|Shounen,2536,46427,2013,17082
4104,Tsuki ga Kirei,feel.,Romance|School,361,254421,2017,34822
4105,Arakawa Under the Bridge,Shaft,Comedy|Romance|Seinen,765,168272,2010,7647
4106,Osananajimi ga Zettai ni Makenai Love Comedy,Doga Kobo,Comedy|Romance|Harem|School,2903,90087,2021,43007
4107,K-On!,Kyoto Animation,Comedy|Slice of Life|Music|School,171,612988,2009,5680
4108,Gintama°,Bandai Namco Pictures,Action|Comedy|Sci-Fi|Historical|Parody|Samurai|Shounen,705,214235,2015,28977
4109,Tada-kun wa Koi wo Shinai,Doga Kobo,Comedy|Romance|Slice of Life,735,130913,2018,36470
4110,Kurozuka,Madhouse,Action|Drama|Horror|Romance|Sci-Fi|Historical|Vampire,2701,35796,2008,5039
4111,Tokkou,AIC Spirits|Group TAC,Action|Comedy|Horror|Mystery|Supernatural|Police|Seinen,3749,25748,2006,916
4112,Koukyoushihen Eureka Seven,Bones,Adventure|Drama|Romance|Sci-Fi|Mecha,603,202378,2005,237
4113,Sankarea,Studio Deen,Comedy|Horror|Romance|Supernatural|Ecchi|Shounen,452,366459,2012,11499
4114,Girls Bravo: Second Season,AIC Spirits,Comedy|Fantasy|Romance|Ecchi|Harem|School|Shounen,2691,63467,2005,487
4115,Choujigen Kakumei Anime: Dimension High School,Asmik Ace,School,8910,1809,2019,38449
4116,Sono Bisque Doll wa Koi wo Suru,CloverWorks,Romance|Slice of Life|School|Seinen,608,0,2022,48736
4117,Blade & Soul,Gonzo,Action|Adventure|Fantasy|Martial Arts,3564,63650,2014,22547
4118,Darling in the FranXX,A-1 Pictures|Trigger|CloverWorks,Action|Drama|Romance|Sci-Fi|Mecha,423,962392,2018,35849
4119,Alexander Senki,Madhouse,Action|Adventure|Fantasy|Sci-Fi|Supernatural|Historical,7499,3557,1999,1442
4120,Amagami SS+ Plus,AIC,Comedy|Romance|Slice of Life|School,987,106917,2012,11235
4121,Wolverine,Madhouse,Action|Martial Arts|Super Power,5355,13950,2011,6918
4122,Isekai Shokudou,SILVER LINK.,Fantasy|Gourmet|Slice of Life,910,108691,2017,34012
4123,Kami-tachi ni Hirowareta Otoko,Maho Film,Adventure|Fantasy|Slice of Life,1801,92475,2020,41312
4124,Ro-Kyu-Bu!,Barnum Studio|Project No.9|Studio Blanc,Comedy|Sports|Ecchi|School,2818,42751,2011,10572
4125,Love Live! School Idol Project 2nd Season,Sunrise,Slice of Life|Music|School,675,176937,2014,19111
4126,Aku no Hana,Zexcs,Drama|Romance|Psychological|School|Shounen,2297,77184,2013,16201
4127,IS: Infinite Stratos 2,8bit,Action|Comedy|Sci-Fi|Ecchi|Harem|Mecha,1644,283890,2013,18247
4128,Karakai Jouzu no Takagi-san 2,Shin-Ei Animation,Comedy|Romance|Slice of Life|School|Shounen,327,175575,2019,38993
4129,Mobile Suit Gundam: Iron-Blooded Orphans,Sunrise,Action|Drama|Sci-Fi|Mecha|Space,702,120090,2015,31251
4130,Psycho-Pass 3,Production I.G,Action|Sci-Fi|Suspense|Police|Psychological,1227,86494,2019,39491
4131,Koi Koi 7,Studio Flag,Comedy|Romance|Harem,6722,7051,2005,668
4132,Witchblade,Gonzo,Action|Sci-Fi|Super Power,2044,54833,2006,935
